symbol,first_date,last_date,total_rows,years_history,duplicate_dates,zero_volume_days,large_gaps,suspicious_jumps,recommended_start,clean_rows,retention_pct,clean_years
RELIANCE,1996-01-01,2026-06-19,7646,30.5,0,119,0,4,2006-01-25,5033,65.83,20.4
INFY,1996-01-01,2026-06-19,7649,30.5,0,124,0,0,1996-01-01,7649,100.0,30.5
TCS,2002-08-12,2026-06-19,5922,23.9,0,314,0,3,2006-01-25,5033,84.99,20.4
HDFCBANK,1996-01-01,2026-06-19,7649,30.5,0,122,0,0,1996-01-01,7649,100.0,30.5
SBIN,1996-01-01,2026-06-19,7647,30.5,0,120,0,0,1996-01-01,7647,100.0,30.5
ITC,1996-01-01,2026-06-19,7646,30.5,0,118,0,0,1996-01-01,7646,100.0,30.5
ONGC,1996-01-01,2026-06-19,7646,30.5,0,120,0,20,2006-01-25,5033,65.83,20.4
WIPRO,1996-01-01,2026-06-19,7649,30.5,0,246,0,4,2000-03-25,6544,85.55,26.2
YESBANK,2005-07-12,2026-06-19,5167,20.9,0,11,0,6,2005-07-12,5167,100.0,20.9
SUZLON,2005-10-19,2026-06-19,5099,20.7,0,10,0,2,2009-04-22,4239,83.13,17.2
